name,aka,page_start,page_end,row_count,chars_count,ks.,firstlast,dob
"Gustafson, Marita","ks. Lindquist, Marita",81,81,1,21,1,Marita Gustafson,
"Gustafsson, Elin","ks. Bruse, Elin",81,81,1,15,1,Elin Gustafsson,
"Gustafsson, Rupert Wolfgang A.","ks. Clement, Gunnar",81,81,1,19,1,Rupert Wolfgang A. Gustafsson,
"Gyllenberg, Rafael Gideon",,81,82,53,2261,0,Rafael Gideon Gyllenberg,18.6.1893
"Gyllenbögel, Birgit Emilie",,82,82,10,374,0,Birgit Emilie Gyllenbögel,5.8.1900
"Gylphe, Thor Ejnar",,82,82,6,218,0,Thor Ejnar Gylphe,25.2.1885
H.M.K.,Esaias Kustaa Hautamäki,82,82,13,507,0,H.M.K.,14.6.1869
H.V.,"ks. Vasara, Helvi",82,82,1,17,1,H.V.,
"Haahtela, Sampo Inkero Untamo",v:een 1926 Hansson,82,83,76,3076,0,Sampo Inkero Untamo Haahtela,18.8.1908
"Haanpää, Pentti Mikael",,83,85,324,14258,0,Pentti Mikael Haanpää,14.10.1905
"Haapakoski, Aarne",ks. Outsider,85,85,1,12,1,Aarne Haapakoski,
"Haapala, Hilja",Hilja Janhonen,85,86,12,412,0,Hilja Haapala,
"Haapanen, Esteri",ks. Kaarina,86,86,1,11,1,Esteri Haapanen,
"Haapanen, Toivo Elias",,86,86,37,1576,0,Toivo Elias Haapanen,15.5.1889
"Haapanen, Tyyni","ks. Tuulio, Tyyni",86,86,1,17,1,Tyyni Haapanen,
"Haapanen-Tallgren, Tyyni","ks. Tuulio, Tyyni",86,86,1,17,1,Tyyni Haapanen-Tallgren,
"Haarala, Anna-Maria",Taimi Ingeborg Lounassalo,86,86,9,401,0,Anna-Maria Haarala,20.6.1910
"Haarla, Lauri Sulo Armas",v. een 1906 Harberg,86,88,276,11516,0,Lauri Sulo Armas Haarla,18.2.1890
"Haarnoja, A.V.","ks. Perälä, A.V.",88,88,1,16,1,A.V. Haarnoja,
"Haataja, Hannes","ks. Haatoja, Hannes",88,88,1,19,1,Hannes Haataja,
"Häätänen, Martta",,88,89,105,4204,0,Martta Häätänen,7.7.1904
"Haatoja, Hannes",Hannes Haataja,89,89,3,97,0,Hannes Haatoja,
Haavi,"ks. Kupiainen, Unto",89,89,1,19,1,Haavi,
"Haavio, Elsa","ks. Enäjärvi, Elsa",89,89,1,18,1,Elsa Haavio,
"Haavio, Jaakko Antero",,89,91,181,7279,0,Jaakko Antero Haavio,3.7.1904
"Haavio, Martti","ks. Mustapää, P.",91,91,1,16,1,Martti Haavio,
"Hagan, Elsa","ks. Soini, Elsa",91,91,1,15,1,Elsa Hagan,
"Hagberg, Jussi",Juho Hagberg,91,91,11,378,0,Jussi Hagberg,6.10.1880
"Hagelin, Guido Alexander",,91,91,5,220,0,Guido Alexander Hagelin,28.2.1897
"Hagelstam-Federley, S.",Sanny Charlotta Hagelstam-Federley,91,91,7,246,0,S. Hagelstam-Federley,23.5.1869
"Haglund, Lars Aane",,91,91,8,352,0,Lars Aane Haglund,10.7.1897
"Hagman, Toivo Mikael",aik. Annala,91,92,33,1286,0,Toivo Mikael Hagman,27.1.1904
"Haila, V.A.",Vilho Antero Haila,92,92,33,1389,0,V.A. Haila,18.4.1894
"Haini, Onni Ville","Onni Höylä, O. Kaskamo, O.H., Onni-setä; aik. Höylä",92,92,41,1552,0,Onni Ville Haini,18.3.1902
"Hakkarainen, Aaro",,92,92,1,28,0,Aaro Hakkarainen,
"Hako, B.",Vanha-Hako,92,92,6,237,0,B. Hako,
"Hala, Pauli",Esko Paavo Erland Hämeen-Anttila,92,93,17,687,0,Pauli Hala,4.4.1904
"Halla, Onni Johannes",aik. Suominen,93,93,39,1676,0,Onni Johannes Halla,27.10.1899
"Halla, Raju /salanimi/",,93,93,3,103,0,Raju /salanimi/ Halla,
"Hallakaski, Hellin",,93,93,3,113,0,Hellin Hallakaski,
"Hallame, V.",Kaarlo Viktor Häggman,93,93,11,431,0,V. Hallame,20.2.1900
"Hallbäck, Anders",,93,93,17,626,0,Anders Hallbäck,30.8.1861
"Halme, Helvi Helena",,93,94,15,498,0,Helvi Helena Halme,26.2.1923
"Halme, S.K.",Saimi Tuulikki Hosia,94,94,13,457,0,S.K. Halme,18.7.1913
"Halme, Yrjö Rafael","Iso-Karhu, Jaakko Riutta, Uppercut,; Lauri Virta; v:een 1905 E Hassan",94,95,101,3874,0,Yrjö Rafael Halme,22.4.1894
"Halmeenmäki, Viljo Evald",aik. Sjöstedt,95,95,16,559,0,Viljo Evald Halmeenmäki,26.1.1897
"Halonen, Antti",,95,95,24,946,0,Antti Halonen,3.4.1903
"Halonen, Emil",,95,95,3,109,0,Emil Halonen,
"Halonen, Juho",,95,95,7,284,0,Juho Halonen,1.10.1862
"Haltsonen, Sulo Johannes",,95,96,124,5089,0,Sulo Johannes Haltsonen,26.5.1903
"Hamara, Lyyli",,96,96,3,88,0,Lyyli Hamara,
"Hamberg, Lars Christian",Sven Heile,96,97,100,3740,0,Lars Christian Hamberg,19.2.1922
"Hammarström, Herman Artur",,97,97,14,561,0,Herman Artur Hammarström,29.11.1863
"Hannikainen, Siiri Maria",,97,97,19,733,0,Siiri Maria Hannikainen,11.12.1889
"Hannula, Helli Kustaava",,97,98,38,1466,0,Helli Kustaava Hannula,30.10.1906
"Hannula, Vaalimo","Verneri Hannula, v:een 1906 Piensoho",98,98,27,1078,0,Vaalimo Hannula,6.3.1897
Hans Kristian,"ks. Talvi, Jussi",98,98,1,16,1,Hans Kristian,
Hapan,"ks. Palmgren, Raoul",98,98,1,19,1,Hapan,
"Hara, Paul","ks. Kurko, Kaarlo",98,98,1,17,1,Paul Hara,
"Hariola, H.","Harald Hjalmar Wilhelm Hariola,; v:een 1935 Högström",98,98,15,602,0,H. Hariola,12.3.1902
"Harkko, Saku","ks. Kurjensaari, Matti",98,98,1,22,1,Saku Harkko,
"Harmaja, Laura Maria",,98,99,45,1796,0,Laura Maria Harmaja,16.9.1881
"Harmaja, Saima Rauha Maria",,99,99,78,3426,0,Saima Rauha Maria Harmaja,8.5.1915
"Harri, Juho","ks. Hartikainen, Kaarlo",99,100,2,52,1,Juho Harri,
"Harrow, William B.",ks. Outsider,100,100,1,12,1,William B. Harrow,
"Hartikainen, Kaarlo",Juho Harri,100,100,7,263,0,Kaarlo Hartikainen,
"Hartikainen, Vihtori","ks. Ravi, Arvi",100,100,1,14,1,Vihtori Hartikainen,
"Hartman, May",Anne-Maria Appelgren,100,100,6,235,0,May Hartman,9.8.1903
"Hassan, Abu",Arthur Hugo Fredrik Ekström,100,100,12,537,0,Abu Hassan,30.1.1899
"Hasselbiatt, Emil Alarik",,100,100,29,1256,0,Emil Alarik Hasselbiatt,3.12.1874
"Hasselbiatt, I.W.",Ivar Wilhelm Hasselbiatt,100,100,12,461,0,I.W. Hasselbiatt,20.4.1864
"Hattara, Armas",aik. Helenius,100,101,14,533,0,Armas Hattara,3.12.1884
"Haukka, Antti","ks. Karilas, Tauno",101,101,1,18,1,Antti Haukka,
"Haukka, Jussi","ks. Karhumäki, Urho",101,101,1,19,1,Jussi Haukka,
"Hautamäki, Kustaa",ks. H.M.K.,101,101,1,10,1,Kustaa Hautamäki,
"Havas, Eero Oskari",v:een 1906 Örling,101,101,32,1257,0,Eero Oskari Havas,18.10.1899
"Havas, Väinö Rafael",v:een 1906 Örling,101,101,27,1119,0,Väinö Rafael Havas,15.8.1898
"Havu, Ilmari",v:een 1906 Falck,101,102,77,3187,0,Ilmari Havu,29.6.1895
"Havu, Toini",Toini Johanna Ollikainen,102,103,172,6539,0,Toini Havu,24.6.1908
"Havumäki, Esko Matti","ks. Mäkelä, Matti",103,103,1,17,1,Esko Matti Havumäki,
"Hedlund, Tyko Heribert",,103,103,5,221,0,Tyko Heribert Hedlund,19.11.1877
"Hedman, Gunni",Gunvor Henriette Hedman,103,104,14,512,0,Gunni Hedman,10.11.1918
"Hedström, Tove",,104,104,9,338,0,Tove Hedström,18.1.1907
"Heikel, Ivar August",LA.H.,104,104,102,4219,0,Ivar August Heikel,16.1.1861
"Heikel, Karin","ks. Vala, Katri",104,105,2,44,1,Karin Heikel,
"Heikinheimo, Aatto Ilmari",v:een 1906 Heikel,105,105,34,1350,0,Aatto Ilmari Heikinheimo,8.11.1891
"Heikka, Aini",,105,105,2,87,0,Aini Heikka,
"Heikkilä, Kauko","ks. Upari, Heikki",105,105,1,17,1,Kauko Heikkilä,
"Heikkinen, Antti W.","ks. Normi, A.B.",105,105,1,15,1,Antti W. Heikkinen,
"Heikkinen, Hannes",Johannes Heikkinen,105,105,12,450,0,Hannes Heikkinen,12.10.1892
"Heikkinen, Lisa","ks. Cawen, Lisa",105,105,1,15,1,Lisa Heikkinen,
"Heile, Sven","ks. Hamberg, Lars",105,105,1,17,1,Sven Heile,
"Heimo, Hilkka","ks. Pukonen, Elsa",105,105,1,17,1,Hilkka Heimo,
"Heiniö, Esti",Esteri Heiniö,105,106,67,2738,0,Esti Heiniö,27.9.1897
"Heinonen, Aune","ks. Hiisku, Aune",106,106,1,16,1,Aune Heinonen,
"Heinonen, Viljo Armas",,106,106,13,539,0,Viljo Armas Heinonen,18.4.1902
"Heinrichs, Axel Erik",,106,106,34,1394,0,Axel Erik Heinrichs,21.7.1890
"Heinä, Annikki","ks. Hämäläinen, Helvi",106,106,1,21,1,Annikki Heinä,
"Heinämies, Vilho Johannes",Jussi Hiukia; v.een 1935 Helenius,106,107,31,1118,0,Vilho Johannes Heinämies,1.2.1900
"Heinäsalmi, Asarias",Aleksius Ruokasalini,107,107,9,297,0,Asarias Heinäsalmi,17.7.1884
"Heiskanen, Anna-Mari",,107,107,1,40,0,Anna-Mari Heiskanen,
"Heiskanen, Pentti Jorma",,107,107,9,381,0,Pentti Jorma Heiskanen,31.7.1914
Heiska-setä,"ks. Asunta, Heikki",107,107,1,18,1,Heiska-setä,
"Helander, A.","ks. Kolima, Arvo A.",107,107,1,19,1,A. Helander,
"Helanen, Vilho Veikko Päiviö",Heikki Aksila; v:een 1906 Helander,107,108,74,2923,0,Vilho Veikko Päiviö Helanen,24.11.1899
"Helariutta, Lauri",v:een 1935 Helin,108,108,11,393,0,Lauri Helariutta,30.12.1906
Helena,"ks. Salmela-Järvinen, Martta",108,108,1,28,1,Helena,
"Helenius, Linda",,108,108,15,595,0,Linda Helenius,5.7.1894
"Heles, Lauri",aik. Helenius,108,108,12,454,0,Lauri Heles,20.8.1907
"Helkiö, Onni Elias",,108,108,10,405,0,Onni Elias Helkiö,20.2.1874
"Hellaanmaa, Pentti",,108,108,1,31,0,Pentti Hellaanmaa,
"Hellmers, Mona","ks. Grönstrand, Ingunn",108,108,1,22,1,Mona Hellmers,
"Helme, Kerttu",,108,108,1,23,0,Kerttu Helme,
"Hemdal, Dag Tor Henrik","Alec de Beyrone, Beau Geste,; Klaus Serranto, Voix",108,109,70,2670,0,Dag Tor Henrik Hemdal,
"Hems, Alfr.","ks. Tallmark, Alfred",109,109,1,20,1,Alfr. Hems,
"Henriksson, Samuel","ks. Voss, Kai",109,109,1,13,1,Samuel Henriksson,
"Herlevi, Helvi Johanna Elisabet",,109,109,9,347,0,Helvi Johanna Elisabet Herlevi,14.9.1898
"Hernesmaa, Heikki","ks. Sauli, Jalmari",109,109,1,18,1,Heikki Hernesmaa,
"Hertz, Martti","ks. Varro, Martius",109,109,1,18,1,Martti Hertz,
"Hertzen, Heikki Olavi Frithiof von",,109,110,20,915,0,Heikki Olavi Frithiof von Hertzen,21.11.1913
"Hertzen, Knut von","ks. Kasper, Lars",110,110,1,16,1,Knut von Hertzen,
"Hiisivaara, Tapio Felix",,110,111,159,6141,0,Tapio Felix Hiisivaara,16.6.1907
"Hiiskoski, U ra m o",,111,111,2,104,0,U ra m o Hiiskoski,
"Hiisku, Aune Sylvia",v:een 1945 Heinonen,111,111,14,534,0,Aune Sylvia Hiisku,16.9.1902
"Hildén, Kate Lucy Julia",,111,111,40,1436,0,Kate Lucy Julia Hildén,26.10.1880
"Hill, Maria",,111,111,1,39,0,Maria Hill,
"Himberg, Arvo A.",Arvo Alfred Himberg,111,112,13,508,0,Arvo A. Himberg,28.12.1892
"Himberg, Tauno","ks. Himmi, Tauno",112,112,1,16,1,Tauno Himberg,
"Himmi, Tauno Emil",Tauno Himmy; aik. Himberg,112,112,53,2006,0,Tauno Emil Himmi,12.3.1903
"Himmy, Tauno","ks. Himmi, Tauno",112,112,1,16,1,Tauno Himmy,
"Hintikka, A.L.","ks. Rautakoura, Johannes",112,112,1,24,1,A.L. Hintikka,
"Hirn, Eva Alfhild",,112,113,41,1525,0,Eva Alfhild Hirn,10.10.1877
"Hirvensalo, Lauri Adolf",v:een 1906 Lagus,113,115,350,13721,0,Lauri Adolf Hirvensalo,22.11.1892
"Hirvikallio, Erkki",,115,115,2,73,0,Erkki Hirvikallio,
"Hirviseppä, Reino","Palle, Palle-setä, R.H.; Reino Wilhelm Palmroth",115,116,89,3578,0,Reino Hirviseppä,2.4.1906
"Hirvonen, Kaarle Erkki Ensio",Tero Uskali,116,117,85,3493,0,Kaarle Erkki Ensio Hirvonen,24.2.1914
"Hirvonen, Uuno","ks. Penttilä, Simo",117,117,1,18,1,Uuno Hirvonen,
"Hiukia, Jussi","ks. Heinämies, Vilho",117,117,1,20,1,Jussi Hiukia,
"Hjelt, Ester","ks. Wasander, Maja",117,117,1,18,1,Ester Hjelt,
Hoffströin. Anna,"ks. Bagge, Ruth",117,117,1,15,1,Hoffströin. Anna,
"Hofman, Karin Vilma",,117,117,10,379,0,Karin Vilma Hofman,27.5.1903
"Holm, Christer","ks. Nuorvala, Kaarlo",117,117,1,20,1,Christer Holm,
"Holm, Erik Valdemar Knut",,117,117,6,222,0,Erik Valdemar Knut Holm,16.2.1868
"Holma, Klaus Ben",,117,118,43,1869,0,Klaus Ben Holma,3.4.1914
"Holmberg, Einar Anders",von Klancken,118,118,41,1582,0,Einar Anders Holmberg,7.4.1878
"Holmberg, Olga","ks. Vuolle, Olga",118,118,1,16,1,Olga Holmberg,
"Holmberg, Ragni",ks. Författarinnan Fröjdman,118,118,1,27,1,Ragni Holmberg,
"Holmgren, Alf.",Alfred Holmgren,118,118,11,379,0,Alf. Holmgren,11.3.1899
"Holmström, Otto","ks. Erkkilä, Eva",118,118,1,16,1,Otto Holmström,
"Holopainen, J.",,118,118,6,281,0,J. Holopainen,
"Holopainen, Lauri",,118,118,21,856,0,Lauri Holopainen,18.7.1909
"Hongell, Alma Alexandra",,118,119,20,666,0,Alma Alexandra Hongell,15.10.1849
"Honka, Aaro","Eino Teini; Eino Johannes Arohonka, v:een 1932 Alen",119,119,89,3363,0,Aaro Honka,7.8.1913
"Honkakangas, Hilma",,119,120,6,251,0,Hilma Honkakangas,6.7.1881
"Honkanen, Helmiriitta","ks. Setälä, Helmiriitta",120,120,1,23,1,Helmiriitta Honkanen,
"Honkanen, Marita","ks. Duncker, Marita",120,120,1,19,1,Marita Honkanen,
"Hopkins, Mary","ks. Nuorvala, Kaarlo",120,120,1,20,1,Mary Hopkins,
"Hormia, Yrjö Nikolai",Aik. Häyrynen,120,120,31,1251,0,Yrjö Nikolai Hormia,21.4.1900
"Horna, Henrik",ks. Outsider,120,120,1,12,1,Henrik Horna,
"Hornborg, Birger Harald",,120,122,245,10697,0,Birger Harald Hornborg,16.2.1890
"Hornborg, Torsten Bogislaus",,122,122,45,1854,0,Torsten Bogislaus Hornborg,7.4.1883
"Hornborg, Ulla Lovisa Ulrika",,122,124,198,7152,0,Ulla Lovisa Ulrika Hornborg,29.6.1910
"Horsma, Meri","ks. Reijonen, Tuuli",124,124,1,19,1,Meri Horsma,
"Hortling, Ivar Johannes",,124,124,49,1928,0,Ivar Johannes Hortling,19.3.1876
"Hosia, Eino Johannes",,124,125,66,3132,0,Eino Johannes Hosia,14.11.1905
"Hosia, Saimi Tuulikki","ks. Halme, S.K.",125,125,1,15,1,Saimi Tuulikki Hosia,
"Hoving, Viktor Harald",,125,126,107,3938,0,Viktor Harald Hoving,12.7.1899
"Huldén, J.J.",Johan Jakob Hulden,126,126,43,1860,0,J.J. Huldén,14.4.1880
"Hultin, Ingrid Aurora",LH.,126,126,8,258,0,Ingrid Aurora Hultin,6.4.1876
"Huntuvuori, Hilda Helena",v:een 1906 Hollmen,126,127,86,3333,0,Hilda Helena Huntuvuori,8.5.1887
"Huotari, Aune Annikki",,127,127,8,301,0,Aune Annikki Huotari,18.11.1903
"Hurmerinta, Usko","ks. Kemppi, Usko",127,127,1,16,1,Usko Hurmerinta,
"Hursti, Arvo","ks. Arsti, Santeri",127,127,1,18,1,Arvo Hursti,
"Hustich, I.",Väinö Ilmari Hustich,127,128,128,5336,0,I. Hustich,11.8.1911
"Huttunen, Sylva Margaretha","Marketta Kara, Marja Rovia",128,128,14,495,0,Sylva Margaretha Huttunen,14.5.1905
"Huurre, Kirsti",Kerttu Euren,128,128,5,183,0,Kirsti Huurre,
"Hynynen, Paavo",,128,129,13,586,0,Paavo Hynynen,20.11.1917
"Hyppönen, Heikki Lauri",,129,129,30,1202,0,Heikki Lauri Hyppönen,13.5.1885
"Hyrkkälä, Helge Johannes",v:een 1943 Hyrkstedt,129,129,10,408,0,Helge Johannes Hyrkkälä,19.5.1887
"Hyrske, Lyyli","ks. Väre, Vappu",129,129,1,15,1,Lyyli Hyrske,
"Hyttinen, Vilho Viljami",Veli Viljami,129,129,12,460,0,Vilho Viljami Hyttinen,29.5.1906
"Hyvinkää, Heikki","ks. Paavonkallio, T.W.",129,129,1,22,1,Heikki Hyvinkää,
"Hyvärinen, Toivo",,129,129,2,99,0,Toivo Hyvärinen,
"Häggblom, Annie Signelia",,129,130,27,1128,0,Annie Signelia Häggblom,6.6.1917
"Häggman, V.","ks. Hallame, V.",130,130,1,15,1,V. Häggman,
"Häkkinen, Tyyne","ks. Pyrhönen, Tyyne",130,130,1,19,1,Tyyne Häkkinen,
"Häkli, Pekka",Usko Toivovainen,130,130,74,2560,0,Pekka Häkli,9.7.1893
"Hälli, Matti Aukusti",v:een 1940 Hall,130,132,248,10670,0,Matti Aukusti Hälli,20.3.1913
"Hällström, Gustaf Torger Raoul af","Lasse Enner, Piccolino",132,133,84,3092,0,Gustaf Torger Raoul af Hällström,14.2.1899
"Häme, Kyllikki",Kyllikki Hämäläinen,133,134,160,6300,0,Kyllikki Häme,23.4.1906
"Hämeenkoski, Toivo Johannes",,134,134,7,252,0,Toivo Johannes Hämeenkoski,17.9.1886
"Hämeranta, Toivo Aleksis",v:een 1936 Göhlstrand,134,134,9,325,0,Toivo Aleksis Hämeranta,20.9.1900
"Hämäläinen, Aune Hillervo",Aune Laakso,134,135,29,1060,0,Aune Hillervo Hämäläinen,26.8.1909
"Hämäläinen, Helvi Heleena",Annikki Heinä,135,136,254,11351,0,Helvi Heleena Hämäläinen,16.6.1907
"Hämäläinen, Kyllikki","ks. Häme, Kyllikki",136,136,1,18,1,Kyllikki Hämäläinen,
"Hämäläinen, Yrjö",,136,137,13,526,0,Yrjö Hämäläinen,11.11.1905
"Hänninen, Kaarlo",,137,137,90,3615,0,Kaarlo Hänninen,31.10.1876
"Härtull, Ester Elisabet",,137,138,15,556,0,Ester Elisabet Härtull,1.12.1905
"Hästesko, Gunnel",,138,138,1,38,0,Gunnel Hästesko,
"Häyrinen, Tellervo",,138,138,4,185,0,Tellervo Häyrinen,
"Häyrynen, Yrjö","ks. Hormia, Yrjö",138,138,1,16,1,Yrjö Häyrynen,
"Höckert, Esther Adele",,138,138,24,991,0,Esther Adele Höckert,17.6.1868
"Högnäs, Uno","ks. Karen, Arnold",138,138,1,17,1,Uno Högnäs,
"Höijer, E.B.",Erik Brynolf Höijärvi,138,138,15,625,0,E.B. Höijer,13.11.1888
"Höijärvi, Erik Brynolf","ks. Höijer, E.B.",138,138,1,16,1,Erik Brynolf Höijärvi,
"Höylä, Onni","ks. Haini, Onni",138,138,1,15,1,Onni Höylä,
"Idman, Niilo",Nils Rudolf Idman,138,139,29,1156,0,Niilo Idman,20.10.1889
"Iho, Aapo",,139,139,10,412,0,Aapo Iho,14.2.1891
"Ikola, J.O.",ks. Vaasan Jaakkoo,139,139,1,18,1,J.O. Ikola,
"Ikävalko, Lempi",,139,139,15,673,0,Lempi Ikävalko,9.5.1901
"Ilkka, Elli-Marja",Elli Maria Ilkka,139,139,17,684,0,Elli-Marja Ilkka,16.10.1896
"Ilmari, Erkki",Yrjänä Pirkka; aik. Lehtonen,139,140,32,1177,0,Erkki Ilmari,9.1.1902
"Ilmari, Seppo","ks. Engström, T.A.",140,140,1,18,1,Seppo Ilmari,
Ilmarinen,Jalmari Takkinen,140,140,14,578,0,Ilmarinen,8.9.1899
"Ilmoni, Synnöve Maria",,140,140,26,1068,0,Synnöve Maria Ilmoni,3.7.1877
"Immonen, Kyllikki","ks. Pellinen, Kyllikki",140,140,1,22,1,Kyllikki Immonen,
"Impilahti, Jalmari",,140,140,2,90,0,Jalmari Impilahti,
"Inarilainen, Tuomas","ks. Itkonen, Tuomo",140,140,1,18,1,Tuomas Inarilainen,
Ingegerd,"ks. Lunden, Ingegerd",140,140,1,20,1,Ingegerd,
Ingelius Hugo Helge Gabriel,,140,140,13,547,0,Ingelius Hugo Helge Gabriel,6.11.1899
"Ingman, Katri",Katri Palola; Katri Ingman-Palola,140,142,231,9182,0,Katri Ingman,17.5.1895
"Ingman-Palola, Katri","ks. Ingman, Katri",142,142,1,17,1,Katri Ingman-Palola,
"Inha, A.","ks. Kalma, Lauri",142,142,1,16,1,A. Inha,
"Inkeri, L.J.","ks. Jääskeläinen, Lempi",142,142,1,23,1,L.J. Inkeri,
Iso-Karhu,"ks. Halme, Yrjö R.",142,142,1,18,1,Iso-Karhu,
"Isomäki, Kaarlo",aik. Kalle Rantanen,142,142,10,394,0,Kaarlo Isomäki,8.2.1889
Isoäiti,Katri Bergholm,142,143,29,1132,0,Isoäiti,27.12.1878
Isä-Onni,"ks. Talas, Onni",143,143,1,15,1,Isä-Onni,
"Itkonen, O.V.",Otto Vilhelm Itkonen,143,143,12,426,0,O.V. Itkonen,13.1.1889
"Itkonen, Tuomo Antero",Tuomas Inarilainen,143,143,65,2687,0,Tuomo Antero Itkonen,30.11.1894
"Itkonen, Jalo Veikko",,143,144,11,435,0,Jalo Veikko Itkonen,16.4.1919
J.A.T.,Jalmari Aleksanteri Torvelainen,144,144,8,351,0,J.A.T.,23.2.1878
J.L.,"ks. Lonkainen, Jussi",144,144,1,20,1,J.L.,
"Jaakkola, A.V.",A ugust Verner Jaakkola,144,144,12,463,0,A.V. Jaakkola,6.1.1887
"Jaakkola, Lasse Viljam","Lauri Jaalas, Ossi Merto, Ola Selas",144,144,53,1998,0,Lasse Viljam Jaakkola,23.4.1916
"Jaakonpoika, Jaakko","ks. Unho, Ilmari",144,145,2,46,1,Jaakko Jaakonpoika,
"Jaalas, Lauri","ks. Jaakkola, Lasse",145,145,1,19,1,Lauri Jaalas,
"Jaarnio, Martti",,145,145,3,139,0,Martti Jaarnio,
"Jaatinen, Jussi","ks. Tuhkanen, Maunu",145,145,1,19,1,Jussi Jaatinen,
"Jack-Leistén, Hertta Maria Elina",,145,145,13,512,0,Hertta Maria Elina Jack-Leistén,9.7.1882
"Jakobson, Naima Maria",,145,145,22,976,0,Naima Maria Jakobson,9.12.1866
"Jalas, Eino","ks. Rydberg, Kaisu-Mirjami",145,145,1,26,1,Eino Jalas,
"Janhonen, Hilja","ks. Haapala, Hilja",145,145,1,18,1,Hilja Janhonen,
"Jansson, Algot",,145,145,25,1015,0,Algot Jansson,28.11.1876
"Jansson, Greta Elisabeth",,145,146,17,688,0,Greta Elisabeth Jansson,17.9.1894
"Jansson, Jan-Magnus",,146,146,36,1563,0,Jan-Magnus Jansson,24.1.1922
"Jansson, Lars Fredrik",,146,146,50,1950,0,Lars Fredrik Jansson,8.10.1926
"Jarga, Azlag",Emil Pyttynen,146,146,10,341,0,Azlag Jarga,
"Jarno, Arvi",,146,147,2,62,0,Arvi Jarno,
"Jartti, Heikki Ilmari",,147,147,38,1560,0,Heikki Ilmari Jartti,22.1.1887
"Jauri, Erkki","ks. Järvinen, A.E.",147,147,1,18,1,Erkki Jauri,
Jeannette,"ks. Tuulio, Tyyni",147,147,1,17,1,Jeannette,
"Jehrimäini, V.O.","Vilho Jyrinoja, aik. Vasselei Jehrimäini",147,147,15,602,0,V.O. Jehrimäini,25.12.1901
"Jenner, Laura","ks. Karilas, Tauno",147,147,1,18,1,Laura Jenner,
"Johansson, Ellen Sofia",,147,147,5,188,0,Ellen Sofia Johansson,19.10.1873
"Johansson, Gunnar Severin",,147,147,16,676,0,Gunnar Severin Johansson,7.10.1903
"Johansson, Gustaf Alexander",,147,148,10,390,0,Gustaf Alexander Johansson,11.9.1880
"Jokinen, Artturi",,148,148,2,93,0,Artturi Jokinen,
"Jokinen, William Matias",Martti Taivalkoski,148,148,84,3235,0,William Matias Jokinen,25.2.1889
"Jones, O.",Ossian Fridolf Engblom,148,148,10,354,0,O. Jones,2.2.1897
"Jore, Matti","ks. Kelo, Ilmari",148,149,2,45,1,Matti Jore,
"Jorkama, Rieti","Odo Fredrik Waldemar Jorkama,; v:een 1935 Björkman",149,149,15,576,0,Rieti Jorkama,16.11.1898
"Joutsen, Edvin","ks. Joutsen, Etti",149,149,1,17,1,Edvin Joutsen,
"Joutsen, Etti","Kaarlo Edvin Joutsen,; v:een 1906 Hellsberg",149,149,16,594,0,Etti Joutsen,3.7.1886
"Joutsen, Jali","Frans Jalmari Joutsenniemi,; v:een 1901 Viklund",149,149,12,492,0,Jali Joutsen,18.1.1880
"Joutsenniemi, Jalmari","ks. Joutsen, Jali",149,149,1,17,1,Jalmari Joutsenniemi,
"Jukola, Martti Henrik",,149,150,93,3804,0,Martti Henrik Jukola,22.11.1900
"Julkunen, Kaarlo Juhana",,150,150,23,994,0,Kaarlo Juhana Julkunen,10.2.1897
"Jung, Anna","ks. Nordbo, Ringa",150,150,1,17,1,Anna Jung,
"Jussila, K.V.",Kaarle Vilho Jussila,150,150,19,735,0,K.V. Jussila,27.2.1895
"Juuri-Oja, Karl Sakeus",,150,151,14,604,0,Karl Sakeus Juuri-Oja,1.9.1890
Juuso,K. Hakala,151,151,3,78,0,Juuso,
"Juutilainen, Martti Veikko Sakari",,151,151,11,477,0,Martti Veikko Sakari Juutilainen,9.1.1910
"Juva, Siiri Sylvia",Sylvia Solki; v:een 1935 Juvelius,151,151,24,919,0,Siiri Sylvia Juva,8.12.1886
"Juvelius, Siiri","ks. Juva, Siiri",151,151,1,15,1,Siiri Juvelius,
"Jylhä, Otto Heikki",,151,152,58,2338,0,Otto Heikki Jylhä,21.5.1903
"Jylhä, Rakel Maria",,152,152,10,412,0,Rakel Maria Jylhä,16.9.1907
"Jylhä, Yrjö Olavi",v:een 1906 Lindeman,152,153,170,7674,0,Yrjö Olavi Jylhä,21.7.1903
"Jyrinoja, Vilho","ks. Jehrimäini, V.O.",153,153,1,20,1,Vilho Jyrinoja,
"Jyrähmi, L.L. /salanimi/",,153,153,2,91,0,L.L. /salanimi/ Jyrähmi,
"Jyränkö, Jalmari",Arvo Jalmari Luotonen,153,153,40,1548,0,Jalmari Jyränkö,20.8.1896
"Jährn, Hagar Valborg Annuli",,153,153,4,182,0,Hagar Valborg Annuli Jährn,29.3.1905
"Jänne, Toivo","ks. Suomela, Toivi",153,154,2,49,1,Toivo Jänne,
"Jäppinen, Jalmari",,154,154,8,285,0,Jalmari Jäppinen,12.5.1897
"Järkäle, Armas","ks. Pylkkänen, Arvo A.",154,154,1,22,1,Armas Järkäle,
